doc,class
“hold on i have something in my shoe”  “i’m pretty sure it’s a foot”,0
"why did mozart kill all his chickens
because when he asked them who the best composer was theyd all say bach bach bach
",0
archaeology really is a career in ruins,0
why did the miner get fired from his job he took it for granite,0
what do you call a bear with no teeth a gummy bear,0
a man walked in to a bar with some asphalt on his arm he said “two beers please one for me and one for the road”,0
why was the picture sent to prison it was framed,0
why didn’t the orange win the race it ran out of juice,0
just read a few facts about frogs they were ribbiting,0
how many kids with add does it take to change a lightbulb lets go ride bikes,0
what lies at the bottom of the ocean and twitches a nervous wreck,0
i got a reversible jacket for christmas i cant wait to see how it turns out,0
why is it so windy inside an arena all those fans,0
what did the shy pebble wish for that she was a little boulder,0
whats brown and sticky a stick,0
"how many seconds are in a year
12
january 2nd february 2nd march 2nd april 2nd etc",0
my first time using an elevator was an uplifting experience the second time let me down,0
do you know where you can get chicken broth in bulk the stock market,0
doctor youve got you help me im addicted to twitter doctor i dont follow you,0
why was the big cat disqualified from the race because it was a cheetah,0
why are basketball players messy eaters because they are always dribbling,0
man i really love my furniture me and my recliner go way back,0
i knew i shouldnt steal a mixer from work but it was a whisk i was willing to take,0
my new years resolution is to stop leaving things so late,0
i was thinking about moving to moscow but there is no point russian into things,0
where do sheep go to get their hair cut the baabaa shop,0
have you ever heard of a music group called cellophane they mostly wrap,0
i ate a clock yesterday it was so time consuming,0
when dad drops a pea off of his plate ‘oh dear i’ve pee’d on the table,0
recent survey revealed 6 out of 7 dwarfs arent happy,0
what do bees do after they are married they go on a honeymoon,0
why did the girl smear peanut butter on the road to go with the traffic jam,0
who did the wizard marry his ghoulfriend,0
what do alexander the great and winnie the pooh have in common same middle name,0
how much does a hipster weigh an instagram,0
child dad make me a sandwich dad poof youre a sandwich,0
why do trees seem suspicious on sunny days dunno theyre just a bit shady,0
how was the snow globe feeling after the storm a little shaken,0
why didnt the number 4 get into the nightclub because he is 2 square,0
what does a pirate pay for his corn a buccaneer,0
how many hipsters does it take to change a lightbulb oh its a really obscure number youve probably never heard of it,0
reversing the car ah this takes me back,0
did you hear the one about the giant pickle  he was kind of a big dill,0
when do doctors get angry when they run out of patients,0
a police officer caught two kids playing with a firework and a car battery he charged one and let the other one off,0
today my son asked can i have a book mark and i burst into tears 11 years old and he still doesnt know my name is brian,0
why are fish so smart because they live in schools,0
what did the zen buddist say to the hotdog vendor make me one with everything,0
my boss told me to have a good day so i went home,0
why are ghosts bad liars because you can see right through them,0
what cheese can never be yours nacho cheese,0
how do you make a hankie dance put a little boogie in it,0
what do you call a dad that has fallen through the ice a popsicle,0
how can you tell a vampire has a cold they start coffin,0
why dont skeletons ride roller coasters they dont have the stomach for it,0
did you hear about the guy who invented lifesavers they say he made a mint,0
where do rabbits go after they get married on a bunnymoon,0
why should you never trust a pig with a secret because its bound to squeal,0
i used to be a banker but i lost interest,0
whoever invented the knockknock joke should get a no bell prize,0
writing with a broken pencil is pointless,0
i could eat a bowl of alphabet soup and crap out a smarter comeback than what you just said,1
some cause happiness wherever they go others whenever they go,1
youre so ugly hello kitty said goodbye to you,1
youre as ugly as a salad,1
you sir are an insult upon insults of a booble on an assortment,1
i hear when you were a child your mother wanted to hire somebody to take care of you but the mafia wanted too much,1
your asinine simian countenance alludes that your fetid stench has annulled the anthropoid ape species diversity,1
are you always an idiot or just when im around,1
i would ask how old you are but i know you cant count that high,1
your mother mates with reindeer,1
its not pretty watching a jackass trying to eat a pomegranate,1
marriage at a motel is more appealing than the likes of you what are you anyways you look like a joint between a mutilated ape and a visible fart,1
go and hide under something old,1
thou art a fleshmonger a fool and a coward,1
may your wife give birth to a centipede so you have to work for shoes all your life,1
we all sprang from apes but you didnt spring far enough,1
youre so ugly you made an onion cry,1
i think its mating season at the zoo so go back to the orangutans and get married,1
you are so ugly that when your mama dropped you off at school she got a fine for littering,1
why dont you check up on ebay and see if they have a life for sale,1
do your keepers a huge favor do a triple summersault through the air and disappear up your own asshole,1
if you were twice as smart youd still be stupid,1
can i borrow your face my arse is on holiday,1
you must have been born on a highway because thats where most accidents happen,1
if i wanted to kill myself i would climb to the number of your chromosomes and then jump to your iq,1
do you have to leave so soon i was just about to poison the tea,1
youre so fat you need cheat codes to play wii fit,1
shut up youll never be the man your mother is,1
your mamma so fat she has to wear 2 watches because she covers two time zones,1
it looks like your face caught on fire and someone tried to put it out with a fork,1
out of 100000 sperm you were the fastest,1
your so ugly when you popped out the doctor said aww what a treasure and your mom said yeah lets bury it,1
go away i was looking at something better than you,1
"quotugly ass motherfuckerquot
gt quotthats not what your mother said last nightquot",1
your value doesnt even amount to the juice squeezed from an old whores soiled tampon,1
when you were born the police arrested your dad the doctor slapped your mom animal control euthanized your brother and aampe made a documentary that saved your life,1
you must be the arithmetic man you add trouble subtract pleasure divide attention and multiply ignorance,1
your head shape looks like a broken condom,1
your family tree is a cactus because everybody on it is a prick,1
you walk behind your boss reaching through his legs and supporting his testicles,1
stick your hand in my ass and jerk off with my shit,1
why dont you slip into something more comfortable like a coma,1
quotdude youre fatquot quotit runs in the familyquot quotmate no one runs in your familyquot,1
if i were your mirror i would commit suicide,1
hey you have something on your chin3rd one down,1
yo mama so fat wen she jumped in the ocean the whales started singing we are family,1
youre so fat the only letters of the alphabet you know are kfc,1
let a hungry carpathian longhaired shewolf blow your dick fuck,1
i called your boyfriend gay and he hit me with his purse,1
with a face like yours i wish i was blind,1
youre so stupid you got fired from the mampm factory for throwing out all the ws,1
your mom must have a really loud bark,1
fuckwit,1
youre so fat you had to be baptised in sea world,1
youre like stds nobody wants you everyone hates you and it proves your parents should have used protection,1
suck devilcock in hell you faggotdwarf,1
the only positive thing about you is your hiv status,1
is that your face or did your neck just throw up,1
the only thing that goes erect when im near you is my middle finger,1
your momma so fat when she went to a doctor she stepped on a scale and the doctor said quothey thats my phone numberquot,1
who do you think is the best comedy team me i think its your parentsthey made the biggest joke,1
if you really want to know about mistakes you should ask your parents,1
your mom is so stupid she tried to wake a sleeping bag,1
youre like the universe constantly expanding,1
your ears are so big when you stand on a mountain they look like trophy handles,1
youre a failed abortion whose birth certificate is an apology from the condom factory,1
if i wanted to kill myself i could just climb up to your ego and jump down to your iq level,1
yo mama so fat shes got more chins than a chinese phone book,1
youre so fake that barbie is more real than you,1
the only way id lay naked with you would be in a mass grave,1
do you still love naturedespite what it did to you,1
two wrongs dont make a right take your parents as an example,1
